setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,DT,321,321,1,0,2021-04-13,54.54,1.9137500000000018,,72.875,1,20,5.909862834748526,0.8334421946440221,20,1,0,56.875,76.69375000000002
dtss,short,APPS,321,321,1,0,2021-04-13,88.67,6.999207142857143,,62.9375,1,33,5.093434052224282,0.43147744285322054,20,1,0,56.875,76.69375000000002
dtss,short,SLQT,224,224,1,0,2021-04-13,32.25,1.4115000000000006,,63.875,1,19,3.0251505490612804,0.44633368756642033,19,1,0,56.875,76.69375000000002
dtss,short,SUPN,322,323,2,0,2021-04-15,31.85,1.149821428571428,,77.1875,1,13,1.5828544805093967,0.39136511880726466,13,8,0,56.875,76.69375000000002
dtss,short,CACI,323,323,1,0,2021-04-15,257.25,5.5071428571428545,,79.1875,1,3,-0.1343709468223104,1.5543450064850854,1,2,0,56.875,76.69375000000002
dtss,short,TAP,324,324,1,0,2021-04-16,46.0641,1.2645505007398228,,87.9375,1,8,1.2603478698923953,0.6676843354644146,8,2,0,56.875,76.69375000000002
dtss,short,TAP,635,637,3,0,2022-07-14,51.6185,1.2810515497255335,,72.0,1,12,0.9488625235350588,1.343565664507701,6,12,0,56.875,76.69375000000002
dtss,short,MBUU,329,330,2,0,2021-04-26,87.59,3.2999428571428573,,72.0625,1,5,1.754575836811029,0.5090997246705548,4,1,0,56.875,76.69375000000002
dtss,short,THO,330,333,4,0,2021-04-29,128.03,4.03194494750123,,74.25,1,26,5.89931220782083,1.6644383495411312,26,4,0,56.875,76.69375000000002
dtss,short,GRBK,336,336,1,0,2021-05-04,27.51,1.1953857142857147,,62.34375,0,60,5.5965199517191095,-0.38063028072230265,6,1,0,56.875,76.69375000000002
